gender,age,race,age_partner,attractiveness,sincerity,intelligence,funny,ambitious,shared_interests,race_partner,field_study,from,match
male,34,Caucasian American,28,average,2,7,1,7,1,Hispanic American,Biological Sciences/Chemistry/Physics,Israel,0
male,25,Caucasian American,21,average,9,7,4,6,4,Asian-American,Business/Econ/Finance,Milan - Italy,0
female,30,Caucasian American,23,average,9,8,6,5,4,Caucasian American,"Social Science, Psychologist",Michigan,0
male,30,Other,26,above,9,9,9,8,9,Caucasian American,Biological Sciences/Chemistry/Physics,new york,0
female,35,Asian-American,34,sligthly_above,10,10,8,9,7,Caucasian American,"Social Science, Psychologist",New York,0
male,24,Caucasian American,23,average,5,8,9,7,3,Caucasian American,Engineering,Persia,0
female,34,Caucasian American,25,below,7,7,5,8,2,Hispanic American,"Education, Academia",New Jersey,0
male,32,Hispanic American,24,sligthly_above,8,10,7,9,7,Caucasian American,Biological Sciences/Chemistry/Physics,"Colombia, South America",0
female,21,Caucasian American,22,average,8,7,0,5,0,Caucasian American,"Social Science, Psychologist","Memphis, TN",0
female,25,African American,27,sligthly_above,7,7,8,2,5,Caucasian American,Biological Sciences/Chemistry/Physics,PA,0
female,24,Caucasian American,24,average,7,5,6,7,3,Caucasian American,Fine Arts/Arts Administration,"Saratoga, NY",0
male,29,Hispanic American,27,sligthly_above,7,8,6,8,5,Asian-American,Business/Econ/Finance,Mexico,0
female,26,Caucasian American,28,sligthly_above,8,8,8,7,2,Caucasian American,Business/Econ/Finance,Texas & Boston,0
male,24,Caucasian American,22,average,8,8,8,7,6,Asian-American,Engineering,Persia,0
female,24,Caucasian American,29,average,8,9,4,10,3,African American,Biological Sciences/Chemistry/Physics,Minnesota,0
female,30,Caucasian American,28,above,7,8,7,5,8,Caucasian American,History/Religion/Philosophy,New York,0
female,34,Caucasian American,25,average,8,6,5,4,7,Asian-American,Biological Sciences/Chemistry/Physics,"Born in Montana, raised in South Jersey (nr. Philadelphia)",0
female,27,Asian-American,24,average,8,8,7,6,2,Caucasian American,Biological Sciences/Chemistry/Physics,China,0
male,27,Caucasian American,31,sligthly_above,7,7,7,5,5,Caucasian American,Business/Econ/Finance,Chicago,0
female,23,Hispanic American,29,sligthly_above,7,8,7,6,5,Caucasian American,Social Work,Ohio,0
female,29,Caucasian American,26,average,6,7,7,4,5,Caucasian American,"Education, Academia",San Francisco,0
female,26,Asian-American,26,average,7,7,6,5,5,Caucasian American,Engineering,India/Venezuela,0
female,26,Caucasian American,25,average,8,9,7,8,4,Asian-American,Math,Brandeis University,0
male,30,Caucasian American,24,average,4,5,4,7,2,Other,Business/Econ/Finance,UK,0
male,25,Caucasian American,22,average,7,5,5,3,6,Asian-American,Other,France,0
male,23,Caucasian American,27,average,8,8,2,6,1,Asian-American,Biological Sciences/Chemistry/Physics,NYC (Staten Island),0
male,24,Caucasian American,27,average,7,9,5,4,6,Asian-American,"Social Science, Psychologist",Israel,0
male,23,Asian-American,23,average,7,8,7,8,7,Caucasian American,Engineering,San Francisco(home)/Los Angeles(undergrad),0
female,27,Caucasian American,24,average,6,6,7,6,5,Asian-American,Biological Sciences/Chemistry/Physics,"Rochester, NY",0
female,23,Caucasian American,29,average,8,6,6,6,6,Asian-American,"Social Science, Psychologist","Erie, PA",0
male,34,Caucasian American,31,average,9,9,4,9,6,Caucasian American,Law,Bronx Science,0
male,28,Caucasian American,31,above,9,9,9,9,7,Caucasian American,Biological Sciences/Chemistry/Physics,"Buffalo, NY",0
male,24,Caucasian American,30,average,5,5,4,3,3,Hispanic American,Engineering,New York City,0
male,23,Asian-American,27,average,7,8,5,7,10,Asian-American,Engineering,Indonesia,0
female,22,Hispanic American,23,sligthly_above,4,4,7,5,3,Caucasian American,"Social Science, Psychologist","Westchester, NY",0
female,24,Asian-American,28,average,8,9,6,7,4,Hispanic American,"Medical Science, Pharmaceuticals, Bio Tech",Northern Virginia,0
male,27,Caucasian American,26,sligthly_above,9,7,8,7,8,Caucasian American,Political Science/International Affairs,"Toronto, Canada",0
female,22,Caucasian American,25,above,9,9,8,8,9,Other,Math,Vestal,0
male,25,Other,24,sligthly_above,6,7,6,7,8,Asian-American,English/Creative Writing/Journalism,"Toronto, London, India",0
female,30,Caucasian American,29,average,6,6,5,7,4,Caucasian American,Social Work,Arizona,0
female,34,Caucasian American,23,below,4,3,2,6,5,Caucasian American,"Education, Academia",New Jersey,0
female,26,Asian-American,27,below,7,9,3,5,3,Caucasian American,Biological Sciences/Chemistry/Physics,"Katonah, NY (more recently, Boston)",0
male,27,Asian-American,26,average,6,6,6,6,6,Asian-American,Business/Econ/Finance,Philippines,0
male,28,Caucasian American,25,average,6,6,5,6,4,Hispanic American,Political Science/International Affairs,California,0
male,22,Caucasian American,26,sligthly_above,8,8,7,9,7,Hispanic American,Business/Econ/Finance,Chicago,0
male,26,Caucasian American,35,sligthly_above,8,8,8,8,8,Hispanic American,Business/Econ/Finance,Chicago,0
female,24,Other,27,sligthly_above,4,7,6,7,5,Caucasian American,Political Science/International Affairs,Berkeley,0
female,21,Asian-American,23,below,8,8,3,2,2,Caucasian American,Engineering,New Jersey,0
female,28,Caucasian American,34,average,7,8,6,6,5,Caucasian American,English/Creative Writing/Journalism,Maryland,0
male,28,Hispanic American,25,below,4,4,4,5,2,Asian-American,Business/Econ/Finance,Colombia,0
female,24,Caucasian American,27,sligthly_above,4,4,4,7,2,Caucasian American,"Social Science, Psychologist",New York,0
female,22,Caucasian American,24,average,8,6,7,9,4,Caucasian American,Political Science/International Affairs,"San Diego, CA",0
male,27,Caucasian American,25,sligthly_above,7,7,6,6,4,Caucasian American,"Social Science, Psychologist","Washington, DC",0
female,29,Caucasian American,29,sligthly_above,7,7,6,6,6,Asian-American,"Education, Academia",Baltimore,0
male,23,Other,28,sligthly_above,8,9,9,10,10,Caucasian American,Law,New York,0
female,26,African American,27,below,8,8,6,6,5,Caucasian American,"Education, Academia","WASHINGTON, D.C.",0
male,27,Caucasian American,24,sligthly_above,7,7,7,7,4,Other,Math,Germany,0
male,32,Other,34,sligthly_above,8,10,10,9,8,Asian-American,Fine Arts/Arts Administration,Miami,0
male,27,Other,30,average,8,7,5,7,7,Hispanic American,Law,Uruguay,0
male,22,Caucasian American,26,average,5,6,5,5,3,Asian-American,Math,Russia,0
male,23,Caucasian American,26,sligthly_above,10,10,8,8,9,Caucasian American,Engineering,france,0
female,29,Caucasian American,28,average,7,8,5,6,5,Caucasian American,"Social Science, Psychologist",Greece/Germany,0
male,29,Caucasian American,24,sligthly_above,7,7,6,7,6,Caucasian American,Math,Italy,0
male,25,Asian-American,34,average,8,8,5,6,7,Caucasian American,Biological Sciences/Chemistry/Physics,"Shanghai, China",0
male,23,Asian-American,24,below,7,7,2,8,2,Other,Engineering,Indonesia,0
male,28,Caucasian American,23,sligthly_above,9,7,6,5,5,Caucasian American,Business/Econ/Finance,Italy,0
male,39,Caucasian American,25,sligthly_above,10,7,7,8,6,Other,Social Work,"Cincinnati, Ohio",0
female,27,Asian-American,23,above,8,8,7,7,7,Caucasian American,Business/Econ/Finance,"Cherry Hill, NJ",0
male,29,Caucasian American,25,sligthly_above,9,8,9,9,5,Asian-American,Business/Econ/Finance,Italy,0
female,30,Hispanic American,29,sligthly_above,8,8,8,7,7,Asian-American,"Social Science, Psychologist",New York,0
female,21,Asian-American,28,sligthly_above,8,8,7,9,6,Caucasian American,Engineering,New Jersey,0
male,29,Asian-American,23,average,6,6,7,6,5,Asian-American,Political Science/International Affairs,J.P. Morgan,0
male,28,African American,29,above,9,9,6,6,5,Caucasian American,Political Science/International Affairs,New York City,0
female,33,Caucasian American,29,average,7,6,6,5,3,Caucasian American,"Social Science, Psychologist",New York,0
female,30,African American,29,sligthly_above,6,7,7,6,5,Hispanic American,Biological Sciences/Chemistry/Physics,alabama,0
female,25,Caucasian American,28,average,3,7,5,5,5,Asian-American,Biological Sciences/Chemistry/Physics,Texas,0
male,22,Caucasian American,23,average,10,9,4,9,5,Caucasian American,Engineering,Paris,0
female,33,African American,34,sligthly_above,9,10,5,9,5,Caucasian American,Film,Chicago,0
female,27,Hispanic American,27,sligthly_above,6,6,8,5,6,Caucasian American,Business/Econ/Finance,New York City,0
female,26,Caucasian American,23,average,9,9,8,9,7,African American,Math,Brandeis University,0
female,26,Caucasian American,24,average,8,9,8,8,6,Hispanic American,"Social Science, Psychologist",New York,0
male,27,Caucasian American,29,sligthly_above,7,7,5,8,3,Caucasian American,Business/Econ/Finance,"Pittsburgh, PA",0
male,27,Other,23,slightly_below,7,9,2,5,2,Caucasian American,Engineering,"Bombay, India",0
female,24,Hispanic American,21,above,7,8,7,8,6,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",Texas,0
female,27,Caucasian American,22,sligthly_above,9,9,6,9,2,Asian-American,Business/Econ/Finance,Israel,0
male,27,African American,27,sligthly_above,5,7,10,7,8,Asian-American,Business/Econ/Finance,London & New York,0
male,27,Caucasian American,26,average,6,7,3,4,4,Asian-American,"Social Science, Psychologist",Russia,0
male,23,Caucasian American,24,sligthly_above,7,9,7,8,4,Other,Biological Sciences/Chemistry/Physics,Maryland,0
male,24,Asian-American,30,average,8,7,6,6,7,Hispanic American,Engineering,Kansas,0
male,29,Asian-American,24,average,7,8,9,9,7,Caucasian American,Business/Econ/Finance,India,0
female,30,Caucasian American,26,average,7,6,6,5,6,Caucasian American,Social Work,Arizona,0
male,26,Caucasian American,27,sligthly_above,9,8,7,8,5,Caucasian American,Business/Econ/Finance,Chicago,0
male,27,Caucasian American,26,sligthly_above,8,8,6,6,5,Caucasian American,Business/Econ/Finance,Iceland,0
female,26,Asian-American,27,sligthly_above,7,8,7,8,6,Caucasian American,Business/Econ/Finance,California and New York,0
female,22,Caucasian American,28,average,8,8,6,5,6,Hispanic American,History/Religion/Philosophy,"Boulder, Colorado",0
female,26,Asian-American,29,average,7,8,6,7,4,Caucasian American,Business/Econ/Finance,California and New York,0
female,22,Asian-American,23,average,8,8,3,7,5,Asian-American,Engineering,China,0
male,39,Caucasian American,26,below,2,2,2,2,2,Asian-American,Social Work,"Cincinnati, Ohio",0
male,24,Caucasian American,23,below,5,5,5,3,2,Asian-American,Engineering,Persia,0
female,23,Asian-American,24,above,7,9,7,9,6,Hispanic American,Law,MD,0
male,30,Asian-American,23,below,7,10,2,10,2,Caucasian American,Business/Econ/Finance,"Asia, Singapore",0
female,26,Asian-American,27,average,6,6,5,6,5,Caucasian American,Biological Sciences/Chemistry/Physics,"Katonah, NY (more recently, Boston)",0
male,27,Asian-American,28,average,7,6,8,5,3,Caucasian American,Business/Econ/Finance,Minneapolis,0
male,27,Asian-American,23,sligthly_above,10,8,8,8,7,Caucasian American,Law,"Shanghai, China",0
female,23,Caucasian American,28,above,9,7,8,8,5,Caucasian American,"Education, Academia","Boston, MA",0
male,23,Caucasian American,28,average,3,6,5,4,7,Caucasian American,Biological Sciences/Chemistry/Physics,colorado,0
female,26,African American,28,below,10,6,6,7,2,Caucasian American,"Education, Academia","WASHINGTON, D.C.",0
male,25,Asian-American,28,average,7,7,5,5,3,Other,Engineering,"BEIJING, CHINA",0
female,31,African American,26,average,8,7,7,8,6,Asian-American,Business/Econ/Finance,Cameroon,0
female,30,African American,23,above,8,8,8,7,6,Caucasian American,Business/Econ/Finance,"Atlanta, GA",0
female,23,Caucasian American,22,sligthly_above,5,8,6,5,7,Caucasian American,English/Creative Writing/Journalism,Kansas,0
female,28,Caucasian American,26,sligthly_above,6,6,5,6,5,Caucasian American,Film,New York City,0
female,22,Caucasian American,22,average,8,9,5,9,3,Caucasian American,Social Work,"Washington, DC",0
male,23,Caucasian American,23,average,7,8,7,9,6,Asian-American,Engineering,Maryland,0
male,25,Asian-American,24,average,8,9,8,8,8,Caucasian American,Business/Econ/Finance,los angeles,0
male,30,Caucasian American,24,average,8,7,6,5,7,Caucasian American,Political Science/International Affairs,Detroit,0
male,27,Other,34,sligthly_above,8,7,6,6,8,Caucasian American,Business/Econ/Finance,San Francisco,0
male,25,Caucasian American,24,average,6,6,6,7,4,Asian-American,Biological Sciences/Chemistry/Physics,Connecticut,0
female,21,Asian-American,24,average,7,8,6,7,7,Caucasian American,Engineering,New Jersey,0
female,27,Asian-American,32,sligthly_above,8,7,7,5,6,Other,"Education, Academia",Virginia,0
male,21,Caucasian American,21,sligthly_above,8,8,6,6,3,Caucasian American,Engineering,Connecticut,0
male,24,Asian-American,26,sligthly_above,7,7,5,7,4,Caucasian American,Math,California,0
female,27,Caucasian American,32,average,7,6,6,6,4,Caucasian American,Fine Arts/Arts Administration,Wisconsin,0
male,30,Caucasian American,30,sligthly_above,6,8,5,8,5,African American,Business/Econ/Finance,Florida,0
female,22,Caucasian American,30,average,4,7,1,7,1,Caucasian American,Law,Pennsylvania,0
male,30,Caucasian American,27,below,5,7,6,6,6,Caucasian American,Business/Econ/Finance,Italy,0
female,25,Asian-American,24,average,7,6,5,5,3,Caucasian American,Law,New York,0
male,27,Caucasian American,29,above,8,8,9,6,9,Other,Business/Econ/Finance,Australia,0
female,25,Caucasian American,27,sligthly_above,7,8,8,8,5,Asian-American,Business/Econ/Finance,New York,0
male,28,Asian-American,29,average,6,7,7,8,6,Caucasian American,Business/Econ/Finance,Bangladesh,0
male,29,Caucasian American,23,average,6,6,4,5,6,Asian-American,Biological Sciences/Chemistry/Physics,czech republic,0
male,29,Caucasian American,26,average,7,9,4,6,3,Asian-American,Business/Econ/Finance,France,0
female,24,Asian-American,27,average,8,8,7,6,6,Asian-American,"Medical Science, Pharmaceuticals, Bio Tech",Northern Virginia,0
female,23,Caucasian American,24,sligthly_above,7,7,7,6,7,Caucasian American,Law,Boston,0
female,21,Caucasian American,22,average,4,3,2,5,4,Asian-American,Political Science/International Affairs,France,0
male,32,Caucasian American,25,sligthly_above,7,8,6,5,6,Caucasian American,Engineering,"boston, ma",0
male,29,Asian-American,25,sligthly_above,8,8,8,7,7,Hispanic American,Political Science/International Affairs,J.P. Morgan,0
male,32,Caucasian American,26,below,2,2,2,2,2,Asian-American,Biological Sciences/Chemistry/Physics,Canada,0
female,32,Hispanic American,21,sligthly_above,7,8,6,9,4,Caucasian American,Biological Sciences/Chemistry/Physics,spain,0
male,25,Caucasian American,22,above,5,8,7,5,4,Caucasian American,Biological Sciences/Chemistry/Physics,Connecticut,0
female,29,Asian-American,29,above,8,9,8,9,8,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",south carolina,0
male,22,Caucasian American,27,average,6,7,6,6,6,Asian-American,Engineering,"Boston, MA",0
male,26,Caucasian American,28,average,9,8,6,7,6,Caucasian American,Business/Econ/Finance,Chicago,0
female,30,Asian-American,27,sligthly_above,6,7,7,8,9,Caucasian American,"Education, Academia",Hong Kong,0
male,30,Caucasian American,24,above,8,8,9,8,8,Caucasian American,Business/Econ/Finance,"Genova, Italy",0
female,26,Caucasian American,29,average,8,6,5,6,5,Asian-American,English/Creative Writing/Journalism,"New York, NY",0
male,24,Caucasian American,24,average,6,7,5,8,5,Caucasian American,"Social Science, Psychologist",Israel,0
male,27,Asian-American,35,average,8,6,8,7,8,Hispanic American,Business/Econ/Finance,Philippines,0
female,27,Asian-American,28,above,8,8,8,8,7,Caucasian American,"Social Science, Psychologist",new jersey,0
female,27,Caucasian American,23,average,6,6,5,6,3,Caucasian American,"Education, Academia",Massachusetts,0
female,23,Caucasian American,24,sligthly_above,7,7,8,7,7,Caucasian American,Social Work,California,0
female,22,Asian-American,23,slightly_below,6,5,4,3,5,Asian-American,Engineering,HKG,0
male,27,Caucasian American,22,sligthly_above,10,6,6,6,3,Caucasian American,Business/Econ/Finance,Yugoslavia,0
female,32,Caucasian American,24,sligthly_above,7,7,7,7,7,Other,Law,New York,0
female,24,Caucasian American,28,average,7,6,6,6,8,Asian-American,Biological Sciences/Chemistry/Physics,Minnesota,0
female,27,Asian-American,22,sligthly_above,8,8,6,6,4,Asian-American,Biological Sciences/Chemistry/Physics,California,0
female,24,Caucasian American,27,average,3,5,8,8,2,Caucasian American,Film,California,0
female,22,Caucasian American,28,average,8,8,8,6,6,Asian-American,"Social Science, Psychologist","Minneapolis, MN",0
male,23,Caucasian American,29,below,4,5,4,2,3,Asian-American,"Education, Academia","Westchester County, N.Y.",0
male,31,Caucasian American,23,sligthly_above,10,10,8,10,7,Caucasian American,Business/Econ/Finance,Germany,0
female,29,Other,25,average,9,8,6,5,5,Asian-American,"Education, Academia",Taiwan,0
male,32,Other,28,average,9,10,3,9,4,Caucasian American,Political Science/International Affairs,"New Delhi, India",0
female,25,Caucasian American,28,sligthly_above,7,8,6,9,8,Hispanic American,Business/Econ/Finance,Northern California,0
female,29,Caucasian American,28,above,10,10,9,9,8,Caucasian American,Political Science/International Affairs,USA/American,0
male,24,Asian-American,24,sligthly_above,8,8,7,6,5,Caucasian American,Engineering,Kansas,0
female,24,Caucasian American,25,average,6,6,7,6,10,Asian-American,Social Work,Uzbekistan,0
male,26,Asian-American,27,average,7,7,0,4,0,Asian-American,Business/Econ/Finance,new york,0
male,28,Caucasian American,21,average,7,6,6,5,5,Asian-American,Business/Econ/Finance,New York,0
male,18,Asian-American,21,sligthly_above,10,8,8,8,6,Caucasian American,Engineering,Louisiana,0
female,28,Caucasian American,31,average,5,5,5,5,5,Caucasian American,Film,New York City,0
female,27,Asian-American,29,sligthly_above,8,8,8,8,7,African American,Business/Econ/Finance,"Cherry Hill, NJ",0
male,34,Caucasian American,24,sligthly_above,6,6,6,5,7,Asian-American,Biological Sciences/Chemistry/Physics,Israel,0
female,30,Caucasian American,25,average,6,6,6,5,3,Caucasian American,"Education, Academia",Arizona,0
male,27,Other,24,sligthly_above,5,6,8,9,6,Asian-American,Business/Econ/Finance,San Francisco,0
male,23,Caucasian American,26,average,4,8,4,8,4,Caucasian American,Biological Sciences/Chemistry/Physics,Maryland,0
female,21,Caucasian American,20,average,5,5,4,3,2,Asian-American,"Social Science, Psychologist",brooklyn ny,0
female,22,Caucasian American,26,average,8,7,4,5,5,Asian-American,Math,Vestal,0
male,30,Caucasian American,21,below,3,5,3,5,3,Asian-American,Business/Econ/Finance,Italy,0
female,23,Caucasian American,27,average,5,6,4,5,4,Asian-American,Social Work,California,0
female,23,Caucasian American,26,average,6,6,5,4,5,Asian-American,Social Work,California,0
male,22,Caucasian American,26,average,10,10,9,10,5,African American,Math,Russia,0
male,27,Caucasian American,25,average,6,10,2,3,3,Other,"Social Science, Psychologist",Russia,0
male,28,Caucasian American,30,below,10,10,6,10,3,African American,Biological Sciences/Chemistry/Physics,Greece,0
female,25,Caucasian American,28,sligthly_above,9,8,8,6,7,Caucasian American,Business/Econ/Finance,New York,0
female,26,Caucasian American,27,below,4,3,1,3,1,Caucasian American,English/Creative Writing/Journalism,California,0
female,30,Asian-American,29,average,7,8,5,4,5,Asian-American,"Education, Academia",New York City,0
male,27,Asian-American,22,average,6,7,4,5,2,Caucasian American,Business/Econ/Finance,Philippines,0
female,22,Caucasian American,21,below,4,5,5,5,5,Caucasian American,Political Science/International Affairs,"San Diego, CA",0
male,29,Asian-American,24,above,9,9,9,9,9,Asian-American,Business/Econ/Finance,New York,0
female,27,Asian-American,22,average,10,10,8,7,6,Caucasian American,"Education, Academia",China,0
female,24,Hispanic American,25,below,10,9,10,4,4,Asian-American,Law,Los Angeles,0
female,22,Caucasian American,30,sligthly_above,8,7,7,7,7,Caucasian American,Social Work,Indiana,0
female,34,Caucasian American,27,average,8,7,6,6,5,Caucasian American,English/Creative Writing/Journalism,Ohio,0
male,28,Caucasian American,26,sligthly_above,7,8,7,7,6,Asian-American,Business/Econ/Finance,New York,0
female,22,Caucasian American,26,average,9,9,8,10,4,Caucasian American,Law,Pennsylvania,0
male,24,Asian-American,31,sligthly_above,8,9,9,7,7,African American,Biological Sciences/Chemistry/Physics,Germany,0
female,28,Asian-American,22,sligthly_above,8,8,8,8,7,Caucasian American,Business/Econ/Finance,Cleveland,0
male,25,Caucasian American,33,average,6,7,4,5,6,Asian-American,Biological Sciences/Chemistry/Physics,Budapest,0
female,31,African American,26,below,7,7,5,5,4,Caucasian American,Business/Econ/Finance,Cameroon,0
female,30,Asian-American,29,above,8,8,6,9,5,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech","California, New Jersey",0
male,26,Caucasian American,26,sligthly_above,8,8,7,7,8,Asian-American,"Education, Academia",Minnesota,0
female,26,Caucasian American,24,average,5,6,4,5,3,Asian-American,Biological Sciences/Chemistry/Physics,New York,0
male,29,Hispanic American,21,above,9,9,9,9,8,Asian-American,Business/Econ/Finance,Costa Rica,0
female,25,Other,23,sligthly_above,8,8,7,7,8,Caucasian American,Political Science/International Affairs,Detroit suburbs,0
male,34,Caucasian American,25,sligthly_above,8,9,9,8,5,Asian-American,Business/Econ/Finance,Washington DC,0
male,31,Caucasian American,26,slightly_below,1,1,1,1,1,Caucasian American,Business/Econ/Finance,"Atlanta, GA",0
female,24,Caucasian American,26,average,6,6,6,6,6,Caucasian American,Film,California,0
male,30,Caucasian American,30,sligthly_above,4,6,5,6,3,Hispanic American,Business/Econ/Finance,Germany,0
female,38,Caucasian American,23,average,6,8,5,9,4,Caucasian American,Business/Econ/Finance,"NYC, San Francisco",0
female,28,Caucasian American,23,below,6,7,4,7,2,Caucasian American,Film,New York City,0
male,21,Caucasian American,23,average,8,7,5,6,4,Asian-American,Engineering,Siberia,0
male,22,Asian-American,23,below,10,10,3,10,2,Caucasian American,Business/Econ/Finance,India,0
female,22,African American,21,average,7,7,6,7,5,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",New Jersey,0
female,22,Caucasian American,25,below,9,9,8,9,5,Asian-American,Political Science/International Affairs,"San Diego, CA",0
female,23,Asian-American,27,below,8,5,4,5,7,Asian-American,Biological Sciences/Chemistry/Physics,P. R. China,0
male,24,Other,26,average,7,7,6,7,2,Caucasian American,Engineering,Bangladesh,0
female,25,Caucasian American,24,sligthly_above,8,8,8,8,8,Other,Social Work,New York,0
female,24,Caucasian American,32,above,7,7,4,8,6,Hispanic American,Business/Econ/Finance,"CT, FL, TN",0
male,24,Caucasian American,25,sligthly_above,8,9,6,8,7,Asian-American,Law,New Jersey,0
female,27,Hispanic American,24,average,4,8,7,8,2,Asian-American,Political Science/International Affairs,San Francisco,0
male,27,Caucasian American,24,above,9,9,7,8,7,Caucasian American,Business/Econ/Finance,"London, England",0
male,23,Caucasian American,33,above,9,7,7,7,7,African American,Engineering,France,0
male,27,Caucasian American,24,average,7,8,6,7,5,Asian-American,Languages,"Portland, Oregon",0
female,25,Caucasian American,26,above,8,7,7,6,7,Caucasian American,"Social Science, Psychologist",New Jersey,0
male,27,Asian-American,25,sligthly_above,9,8,8,8,7,Caucasian American,Business/Econ/Finance,Minneapolis,0
female,23,African American,23,average,8,8,6,7,7,Caucasian American,Law,New York,0
female,23,Caucasian American,29,below,5,4,1,4,2,Caucasian American,"Social Science, Psychologist",New York,0
male,27,Caucasian American,21,average,9,7,6,5,6,Asian-American,Business/Econ/Finance,New York,0
male,27,Caucasian American,21,average,7,7,7,7,7,Caucasian American,Business/Econ/Finance,Boston,0
male,30,Asian-American,21,average,7,7,6,6,7,Asian-American,Law,China,0
female,23,Caucasian American,24,average,8,8,8,8,7,Hispanic American,"Education, Academia",Connecticut,0
male,42,Caucasian American,22,average,6,6,7,7,3,Caucasian American,Political Science/International Affairs,"Detroit, Michigan, USA",0
female,29,Other,34,average,10,6,6,6,4,Caucasian American,"Education, Academia",Taiwan,0
female,27,Hispanic American,26,average,8,8,6,6,6,Caucasian American,Business/Econ/Finance,New York City,0
female,30,Caucasian American,32,sligthly_above,5,5,5,5,5,Caucasian American,History/Religion/Philosophy,New York,0
female,35,Asian-American,28,below,7,7,1,6,1,Caucasian American,"Education, Academia",Taiwan,0
female,23,Caucasian American,30,average,5,5,6,8,6,Caucasian American,English/Creative Writing/Journalism,Kansas,0
female,22,Asian-American,25,average,6,5,3,4,2,Caucasian American,"Education, Academia",Taiwan,0
male,25,Caucasian American,25,sligthly_above,10,10,7,9,9,Caucasian American,Business/Econ/Finance,Milan - Italy,0
female,27,Hispanic American,29,above,9,7,7,7,6,Caucasian American,Political Science/International Affairs,San Francisco,0
male,27,African American,28,sligthly_above,4,4,4,4,4,Other,Business/Econ/Finance,London & New York,0
male,25,Caucasian American,29,sligthly_above,7,8,6,6,5,Asian-American,Engineering,NJ,0
