"age","workclass","educatoin_num","marital_status","occupation","race","sex","hours_per_week","income"
34,"Private",12,"Divorced","Sales","Black","Female",45,"<=50K"
60,"Private",13,"Divorced","Professional","White","Female",42,"<=50K"
21,"Private",9,"Single","Blue-Collar","White","Male",40,"<=50K"
57,"Government",14,"Married","Sales","White","Male",40,">50K"
41,"Private",15,"Married","Professional","White","Male",60,">50K"
50,"Private",10,"Divorced","Service","White","Male",45,"<=50K"
25,"Private",13,"Single","White-Collar","White","Female",40,"<=50K"
50,"Private",4,"Married","Blue-Collar","White","Male",40,"<=50K"
36,"Private",13,"Married","Professional","White","Male",45,"<=50K"
31,"Private",9,"Divorced","Professional","White","Female",40,"<=50K"
29,"Government",13,"Single","Service","White","Male",56,"<=50K"
21,"Private",10,"Single","Sales","White","Male",45,"<=50K"
27,"Private",13,"Single","Service","Black","Female",40,"<=50K"
65,"Private",9,"Married","Blue-Collar","White","Male",16,"<=50K"
37,"Self-Employed",13,"Divorced","Sales","White","Female",60,"<=50K"
39,"?",14,"Married","?","Asian-Pac-Islander","Female",40,"<=50K"
24,"Private",9,"Single","Blue-Collar","White","Male",40,"<=50K"
38,"Private",9,"Divorced","Sales","White","Male",80,"<=50K"
48,"Private",13,"Married","White-Collar","White","Male",40,">50K"
21,"Private",10,"Single","Service","Asian-Pac-Islander","Female",25,"<=50K"
31,"Private",9,"Married","Blue-Collar","White","Male",45,">50K"
55,"Private",9,"Married","Sales","White","Male",40,">50K"
24,"Private",10,"Married","White-Collar","Asian-Pac-Islander","Female",40,"<=50K"
43,"Private",9,"Divorced","White-Collar","White","Female",40,"<=50K"
26,"Private",12,"Single","Service","White","Male",45,"<=50K"
46,"Private",12,"Single","Professional","White","Female",33,"<=50K"
35,"Private",12,"Married","White-Collar","White","Male",40,">50K"
41,"Self-Employed",10,"Married","Blue-Collar","White","Male",54,">50K"
26,"Private",13,"Single","Sales","White","Male",40,"<=50K"
34,"Private",14,"Married","White-Collar","Asian-Pac-Islander","Male",35,">50K"
19,"?",10,"Single","?","Black","Female",25,"<=50K"
36,"Self-Employed",13,"Divorced","Professional","Black","Female",40,">50K"
22,"Private",10,"Single","Sales","White","Male",15,"<=50K"
24,"Private",10,"Single","Blue-Collar","White","Male",40,"<=50K"
77,"Self-Employed",10,"Married","Sales","White","Male",40,"<=50K"
22,"Private",3,"Married","Blue-Collar","White","Female",40,"<=50K"
29,"Private",10,"Single","Service","White","Female",40,"<=50K"
62,"Private",9,"Widowed","Service","White","Female",24,"<=50K"
39,"Self-Employed",9,"Married","White-Collar","White","Male",40,"<=50K"
43,"Private",10,"Married","Blue-Collar","White","Male",50,"<=50K"
35,"Private",9,"Divorced","Blue-Collar","White","Male",45,"<=50K"
29,"Private",7,"Single","White-Collar","White","Female",40,"<=50K"
76,"Self-Employed",14,"Married","Blue-Collar","White","Male",10,"<=50K"
63,"Self-Employed",9,"Married","Blue-Collar","White","Male",45,"<=50K"
23,"?",11,"Single","?","Black","Female",15,"<=50K"
43,"Private",10,"Married","Professional","White","Female",50,">50K"
58,"Self-Employed",9,"Married","Blue-Collar","White","Male",40,"<=50K"
66,"Private",9,"Single","Blue-Collar","White","Male",55,"<=50K"
41,"Private",10,"Single","Blue-Collar","Black","Male",45,"<=50K"
26,"Private",13,"Single","White-Collar","White","Male",40,"<=50K"
47,"Private",11,"Single","Service","White","Male",40,"<=50K"
55,"Government",6,"Married","White-Collar","White","Male",40,"<=50K"
53,"Private",9,"Married","Blue-Collar","White","Male",40,"<=50K"
17,"Private",3,"Single","Service","White","Male",48,"<=50K"
30,"Private",9,"Single","Blue-Collar","White","Male",40,"<=50K"
49,"Private",14,"Single","Professional","White","Male",60,"<=50K"
19,"Private",9,"Single","Sales","Black","Male",30,"<=50K"
45,"Private",9,"Married","Service","Black","Male",40,"<=50K"
26,"Private",12,"Single","Sales","White","Male",40,"<=50K"
38,"Private",11,"Married","Blue-Collar","White","Male",40,">50K"
36,"Government",9,"Married","Service","White","Male",40,">50K"
33,"Private",9,"Single","Blue-Collar","White","Male",20,"<=50K"
22,"Government",10,"Single","Service","Black","Female",40,"<=50K"
43,"Self-Employed",13,"Single","Sales","White","Male",42,"<=50K"
67,"?",7,"Married","?","White","Male",8,"<=50K"
30,"?",11,"Divorced","?","White","Female",40,"<=50K"
56,"Private",12,"Married","Service","White","Male",25,"<=50K"
31,"Private",13,"Single","Professional","White","Male",25,"<=50K"
33,"Private",13,"Married","White-Collar","White","Male",40,">50K"
26,"Private",9,"Married","Service","White","Male",40,"<=50K"
33,"Private",13,"Married","White-Collar","White","Male",40,">50K"
46,"Government",7,"Married","Blue-Collar","White","Male",30,"<=50K"
59,"?",13,"Married","?","White","Male",40,">50K"
38,"Government",9,"Married","White-Collar","White","Male",40,">50K"
65,"Private",7,"Widowed","Service","Other","Male",40,"<=50K"
40,"Private",11,"Married","Service","White","Male",40,">50K"
42,"Private",9,"Married","White-Collar","White","Female",35,"<=50K"
26,"Self-Employed",5,"Married","Blue-Collar","White","Male",40,"<=50K"
36,"Private",6,"Married","Service","White","Female",24,"<=50K"
62,"Private",14,"Married","Professional","White","Male",40,">50K"
43,"Private",13,"Married","Blue-Collar","White","Male",45,"<=50K"
43,"Private",13,"Divorced","White-Collar","White","Male",45,">50K"
22,"Private",9,"Married","Sales","White","Male",55,"<=50K"
28,"Private",9,"Married","Blue-Collar","White","Male",40,"<=50K"
56,"Self-Employed",10,"Married","Sales","White","Male",45,"<=50K"
22,"Private",12,"Single","Sales","White","Female",15,"<=50K"
57,"Private",13,"Divorced","White-Collar","White","Female",45,">50K"
39,"Private",9,"Divorced","Sales","White","Female",40,"<=50K"
26,"Government",10,"Single","White-Collar","White","Female",15,"<=50K"
17,"Private",7,"Single","Service","White","Male",10,"<=50K"
40,"Government",11,"Married","Blue-Collar","White","Male",38,">50K"
45,"Private",9,"Married","Blue-Collar","Black","Male",40,"<=50K"
44,"Private",9,"Single","Blue-Collar","Black","Male",40,"<=50K"
20,"Government",10,"Single","White-Collar","White","Female",10,"<=50K"
33,"Private",9,"Married","Blue-Collar","White","Female",40,"<=50K"
23,"Private",10,"Single","Sales","White","Male",40,"<=50K"
46,"Self-Employed",14,"Divorced","White-Collar","White","Male",30,"<=50K"
38,"Private",9,"Married","Sales","White","Male",50,"<=50K"
54,"Private",9,"Divorced","Blue-Collar","White","Male",40,"<=50K"
46,"Private",3,"Divorced","Blue-Collar","White","Female",45,"<=50K"
25,"Private",10,"Married","Blue-Collar","White","Male",40,"<=50K"
46,"Private",10,"Divorced","Sales","White","Female",40,"<=50K"
36,"Government",10,"Married","Blue-Collar","White","Female",40,"<=50K"
23,"Private",9,"Single","Service","White","Female",25,"<=50K"
29,"Private",9,"Separated","Blue-Collar","White","Male",40,"<=50K"
44,"Private",10,"Married","White-Collar","White","Female",6,">50K"
19,"Private",10,"Single","White-Collar","White","Female",16,"<=50K"
19,"Private",9,"Single","Service","White","Female",40,"<=50K"
35,"Private",9,"Married","Service","White","Female",40,">50K"
27,"Private",13,"Single","Blue-Collar","White","Male",50,"<=50K"
46,"Self-Employed",12,"Separated","Blue-Collar","White","Male",40,"<=50K"
34,"Government",13,"Married","White-Collar","White","Male",45,">50K"
34,"Private",9,"Single","Service","White","Female",35,"<=50K"
44,"Private",10,"Married","Service","White","Male",40,"<=50K"
45,"Private",10,"Divorced","Blue-Collar","White","Female",40,"<=50K"
20,"?",9,"Single","?","White","Female",35,"<=50K"
25,"Private",13,"Married","White-Collar","White","Male",55,">50K"
52,"Self-Employed",13,"Married","White-Collar","White","Male",50,">50K"
20,"Private",10,"Single","Blue-Collar","White","Male",40,"<=50K"
28,"Private",10,"Single","Service","White","Female",40,"<=50K"
50,"Government",13,"Married","Service","White","Male",40,">50K"
34,"Private",11,"Divorced","Service","White","Female",64,"<=50K"
28,"Private",4,"Married","Blue-Collar","Other","Male",40,"<=50K"
41,"Private",14,"Married","White-Collar","White","Male",65,">50K"
28,"Private",9,"Married","White-Collar","White","Male",40,"<=50K"
46,"Self-Employed",9,"Married","Blue-Collar","White","Male",25,"<=50K"
28,"?",10,"Married","?","White","Female",40,">50K"
32,"Private",10,"Married","White-Collar","White","Male",50,"<=50K"
41,"Government",10,"Divorced","Service","Black","Female",24,"<=50K"
24,"Private",9,"Single","Blue-Collar","Black","Female",40,"<=50K"
33,"Private",10,"Divorced","White-Collar","White","Female",40,"<=50K"
46,"Private",16,"Married","White-Collar","White","Male",60,">50K"
31,"Government",10,"Married","Blue-Collar","White","Male",40,"<=50K"
35,"Private",8,"Divorced","Blue-Collar","White","Male",50,">50K"
52,"Private",2,"Married","Blue-Collar","White","Male",40,"<=50K"
30,"Private",7,"Single","Service","White","Female",19,"<=50K"
34,"Government",7,"Separated","Blue-Collar","Black","Male",40,"<=50K"
34,"Government",9,"Divorced","Blue-Collar","White","Female",40,"<=50K"
20,"Private",10,"Married","Sales","White","Male",30,"<=50K"
17,"Private",7,"Single","Blue-Collar","White","Male",18,"<=50K"
32,"Government",13,"Married","White-Collar","White","Female",40,">50K"
29,"Private",9,"Divorced","Blue-Collar","White","Male",40,"<=50K"
33,"Private",6,"Single","Blue-Collar","White","Female",35,"<=50K"
25,"Private",9,"Married","Blue-Collar","White","Male",60,"<=50K"
36,"Government",14,"Single","Professional","White","Male",40,"<=50K"
23,"Private",9,"Single","Blue-Collar","White","Male",72,"<=50K"
63,"Self-Employed",9,"Married","White-Collar","White","Male",40,">50K"
47,"Government",14,"Married","Professional","White","Male",40,"<=50K"
80,"?",9,"Widowed","?","White","Male",24,"<=50K"
17,"?",7,"Single","?","White","Male",40,"<=50K"
40,"Self-Employed",13,"Married","Professional","White","Female",40,"<=50K"
