GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
327,112,3,C,C,8.72,1,1
301,99,2,C,D,8.22,0,1
296,95,2,C,D,7.54,1,0
294,93,1,F,D,7.36,0,0
312,105,3,D,C,8.02,1,0
340,120,4,A,A,9.5,1,1
320,110,5,A,B,9.22,1,1
322,115,5,B,B,9.36,1,1
340,115,5,B,B,9.45,1,1
319,103,4,B,C,8.66,0,1
315,106,3,B,C,8.42,0,1
317,107,2,C,C,8.28,0,1
314,108,3,B,C,8.14,0,1
316,109,4,B,C,8.76,1,1
318,106,2,B,B,7.92,1,1
299,97,3,A,C,7.66,0,0
298,98,2,B,C,8.03,0,0
301,97,2,C,C,7.88,1,0
303,99,3,D,D,7.66,0,0
304,100,4,F,D,7.84,0,0
306,100,2,C,C,8.0,0,0
331,120,3,B,B,8.96,1,1
332,119,4,A,B,9.24,1,1
323,113,3,B,B,8.88,1,1
322,107,3,C,C,8.46,1,1
312,105,2,D,C,8.12,0,1
314,106,2,B,C,8.25,0,1
317,104,2,B,B,8.47,0,0
326,112,3,C,C,9.05,1,1
316,110,3,B,B,8.78,1,1
329,111,4,B,B,9.18,1,1
338,117,4,C,B,9.46,1,1
331,116,5,A,A,9.38,1,1
304,103,5,A,B,8.64,0,1
305,108,5,C,C,8.48,0,1
321,109,4,B,B,8.68,1,1
301,107,3,C,C,8.34,1,1
320,110,2,B,C,8.56,0,1
311,105,3,C,C,8.45,1,0
310,106,4,B,B,9.04,1,1
299,102,3,B,C,8.62,0,0
290,104,4,D,D,7.46,0,0
296,99,2,C,C,7.28,0,0
327,104,5,C,C,8.84,1,1
335,117,5,A,A,9.56,1,1
334,119,5,B,B,9.48,1,1
310,106,4,F,D,8.36,0,0
308,108,3,C,C,8.22,0,1
301,106,4,D,C,8.47,0,0
300,100,3,D,C,8.66,1,1
323,113,3,B,C,9.32,1,1
319,112,3,D,D,8.71,1,1
326,112,3,C,C,9.1,1,1
333,118,5,A,A,9.35,1,1
339,114,5,B,B,9.76,1,1
303,105,5,A,B,8.65,0,1
309,105,5,C,C,8.56,0,1
323,112,5,B,B,8.78,0,1
333,113,5,B,B,9.28,1,1
314,109,4,C,B,8.77,1,1
312,103,3,A,B,8.45,0,1
316,100,2,F,C,8.16,1,1
326,116,2,B,C,9.08,1,1
318,109,1,C,C,9.12,0,1
329,110,2,B,C,9.15,1,1
332,118,2,B,C,9.36,1,1
331,115,5,B,C,9.44,1,1
340,120,4,B,B,9.92,1,1
325,112,2,C,C,8.96,1,1
320,113,2,D,D,8.64,1,1
315,105,3,D,D,8.48,0,1
326,114,3,C,C,9.11,1,1
339,116,4,B,C,9.8,1,1
311,106,2,C,C,8.26,1,1
334,114,4,B,B,9.43,1,1
332,116,5,A,A,9.28,1,1
321,112,5,A,A,9.06,1,1
324,105,3,C,B,8.75,0,1
326,108,3,C,C,8.89,0,1
312,109,3,C,C,8.69,0,1
315,105,3,D,D,8.34,0,1
309,104,2,D,D,8.26,0,1
306,106,2,D,D,8.14,0,1
297,100,1,F,D,7.9,0,0
315,103,1,F,D,7.86,0,0
298,99,1,F,C,7.46,0,0
318,109,3,C,C,8.5,0,1
317,105,3,C,C,8.56,0,1
329,111,4,B,B,9.01,1,1
322,110,5,B,B,8.97,0,1
302,102,3,C,A,8.33,0,1
313,102,3,D,C,8.27,0,1
293,97,2,D,B,7.8,1,1
311,99,2,D,C,7.98,0,1
312,101,2,D,C,8.04,1,1
334,117,5,B,B,9.07,1,1
322,110,4,B,A,9.13,1,1
323,113,4,B,B,9.23,1,1
321,111,4,B,B,8.97,1,1
320,111,4,B,C,8.87,1,1
329,119,4,B,B,9.16,1,1
319,110,3,C,C,9.04,0,1
309,108,3,D,C,8.12,0,1
307,102,3,C,C,8.27,0,1
300,104,3,C,C,8.16,0,1
305,107,2,D,D,8.42,0,1
299,100,2,C,C,7.88,0,1
314,110,3,B,B,8.8,0,1
316,106,2,D,B,8.32,0,1
327,113,4,B,B,9.11,1,1
317,107,3,C,C,8.68,1,1
335,118,5,B,C,9.44,1,1
331,115,5,B,C,9.36,1,1
324,112,5,A,A,9.08,1,1
324,111,5,B,B,9.16,1,1
323,110,5,B,A,8.98,1,1
322,114,5,B,B,8.94,1,1
336,118,5,B,A,9.53,1,1
316,109,3,C,C,8.76,0,1
307,107,2,C,C,8.52,1,1
306,105,2,C,D,8.26,0,1
310,106,2,C,D,8.33,0,1
311,104,3,B,B,8.43,0,1
313,107,3,B,B,8.69,0,1
317,103,3,D,C,8.54,1,1
315,110,2,C,C,8.46,1,1
340,120,5,B,B,9.91,1,1
334,120,5,B,A,9.87,1,1
298,105,3,C,B,8.54,0,1
295,99,2,D,C,7.65,0,0
315,99,2,C,C,7.89,0,1
310,102,3,C,B,8.02,1,1
305,106,2,C,C,8.16,0,1
301,104,3,C,B,8.12,1,1
325,108,4,B,B,9.06,1,1
328,110,4,A,B,9.14,1,1
338,120,4,A,A,9.66,1,1
333,119,5,A,B,9.78,1,1
331,117,4,B,A,9.42,1,1
330,116,5,A,B,9.36,1,1
322,112,4,B,B,9.26,1,1
321,109,4,B,B,9.13,1,1
324,110,4,C,C,8.97,1,1
312,104,3,C,C,8.42,0,1
313,103,3,B,B,8.75,0,1
316,110,3,C,B,8.56,0,1
324,113,4,B,B,8.79,0,1
308,109,2,C,B,8.45,0,1
305,105,2,C,D,8.23,0,1
296,99,2,D,D,8.03,0,1
306,110,2,C,B,8.45,0,1
312,110,2,C,C,8.53,0,1
318,112,3,B,C,8.67,0,1
324,111,4,C,C,9.01,1,1
313,104,3,B,B,8.65,0,1
319,106,3,C,D,8.33,1,1
312,107,2,D,C,8.27,0,1
304,100,2,D,C,8.07,0,1
330,113,5,A,B,9.31,1,1
326,111,5,B,B,9.23,1,1
325,112,4,B,B,9.17,1,1
329,114,5,B,A,9.19,1,1
310,104,3,D,C,8.37,0,1
299,100,1,F,D,7.89,0,0
296,101,1,D,C,7.68,0,0
317,103,2,D,D,8.15,0,1
324,115,3,C,C,8.76,1,1
325,114,3,C,C,9.04,1,1
314,107,2,D,B,8.56,0,1
328,110,4,B,D,9.02,1,1
316,105,3,C,C,8.73,0,1
311,104,2,D,C,8.48,0,1
324,110,3,C,B,8.87,1,1
321,111,3,C,B,8.83,1,1
320,104,3,C,D,8.57,1,1
316,99,2,D,C,9.0,0,1
318,100,2,D,C,8.54,1,1
335,115,4,B,B,9.68,1,1
321,114,4,B,A,9.12,0,1
307,110,4,B,B,8.37,0,1
309,99,3,B,B,8.56,0,1
324,100,3,B,A,8.64,1,1
326,102,4,A,A,8.76,1,1
331,119,4,A,B,9.34,1,1
327,108,5,A,C,9.13,1,1
312,104,3,C,B,8.09,0,1
308,103,2,D,B,8.36,1,1
324,111,3,D,F,8.79,1,1
325,110,2,C,D,8.76,1,1
313,102,3,D,D,8.68,0,1
312,105,2,D,D,8.45,0,1
314,107,3,C,C,8.17,1,1
327,113,4,B,A,9.14,0,1
308,108,4,B,A,8.34,0,1
306,105,2,D,C,8.22,1,1
299,96,2,F,D,7.86,0,0
294,95,1,F,F,7.64,0,0
312,99,1,F,F,8.01,1,0
315,100,1,D,D,7.95,0,0
322,110,3,C,C,8.96,1,1
329,113,5,A,B,9.45,1,1
320,101,2,D,C,8.62,0,1
308,103,2,C,C,8.49,0,1
304,102,2,C,B,8.73,0,1
311,102,3,B,B,8.64,1,1
317,110,3,B,B,9.11,1,1
312,106,3,B,C,8.79,1,1
321,111,3,D,C,8.9,1,1
340,112,4,A,B,9.66,1,1
331,116,5,B,B,9.26,1,1
336,118,5,B,B,9.19,1,1
324,114,5,A,B,9.08,1,1
314,104,4,A,A,9.02,0,1
313,109,3,B,C,9.0,0,1
307,105,2,D,C,7.65,0,0
300,102,2,F,D,7.87,0,0
302,99,2,F,D,7.97,0,0
312,98,1,C,C,8.18,1,1
316,101,2,D,D,8.32,1,1
317,100,2,C,D,8.57,0,1
310,107,3,C,C,8.67,0,1
320,120,3,B,B,9.11,0,1
330,114,3,B,B,9.24,1,1
305,112,3,C,C,8.65,0,1
309,106,2,D,D,8.0,0,1
319,108,2,D,C,8.76,0,1
322,105,2,C,C,8.45,1,1
323,107,3,C,C,8.55,1,1
313,106,2,D,D,8.43,0,1
321,109,3,C,C,8.8,1,1
323,110,3,B,C,9.1,1,1
325,112,4,B,B,9.0,1,1
312,108,3,C,C,8.53,0,1
308,110,4,C,C,8.6,0,1
320,104,3,C,C,8.74,1,1
328,108,4,B,B,9.18,1,1
311,107,4,B,B,9.0,1,1
301,100,3,C,C,8.04,0,1
305,105,2,C,B,8.13,0,1
308,104,2,D,C,8.07,0,1
298,101,2,F,D,7.86,0,0
300,99,1,F,D,8.01,0,0
324,111,3,D,D,8.8,1,1
327,113,4,C,C,8.69,1,1
317,106,3,B,C,8.5,1,1
323,104,3,B,B,8.44,1,1
314,107,2,D,B,8.27,0,1
305,102,2,D,D,8.18,0,1
315,104,3,C,D,8.33,0,1
326,116,3,C,B,9.14,1,1
299,100,3,D,D,8.02,0,1
295,101,2,D,D,7.86,0,1
324,112,4,B,C,8.77,1,1
297,96,2,D,F,7.89,0,0
327,113,3,C,C,8.66,1,1
311,105,2,C,D,8.12,1,1
308,106,3,C,D,8.21,1,1
319,108,3,C,C,8.54,1,1
312,107,4,B,B,8.65,1,1
325,111,4,B,B,9.11,1,1
319,110,3,C,D,8.79,0,1
332,118,5,A,A,9.47,1,1
323,108,5,B,B,8.74,1,1
324,107,5,C,B,8.66,1,1
312,107,3,C,C,8.46,1,1
326,110,3,C,C,8.76,1,1
308,106,3,C,C,8.24,0,0
305,103,2,D,C,8.13,0,0
295,96,2,F,D,7.34,0,0
316,98,1,F,D,7.43,0,0
304,97,2,F,D,7.64,0,0
299,94,1,F,F,7.34,0,0
302,99,1,D,D,7.25,0,0
313,101,3,D,C,8.04,0,1
318,107,3,C,C,8.27,1,1
325,110,4,C,B,8.67,1,1
303,100,2,C,C,8.06,1,1
300,102,3,C,D,8.17,0,1
297,98,2,D,C,7.67,0,0
317,106,2,D,C,8.12,0,1
327,109,3,C,B,8.77,1,1
301,104,2,C,C,7.89,1,1
314,105,2,D,D,7.64,0,1
321,107,2,D,F,8.44,0,1
322,110,3,B,A,8.64,1,1
334,116,4,B,C,9.54,1,1
338,115,5,B,A,9.23,1,1
306,103,2,D,C,8.36,0,1
313,102,3,C,B,8.9,1,1
330,114,4,B,C,9.17,1,1
320,104,3,C,B,8.34,1,1
311,98,1,F,D,7.46,0,0
298,92,1,D,D,7.88,0,0
301,98,1,D,C,8.03,1,1
310,103,2,D,D,8.24,0,1
324,110,3,C,C,9.22,1,1
336,119,4,B,B,9.62,1,1
321,109,3,C,C,8.54,1,1
315,105,2,D,D,7.65,0,0
304,101,2,D,D,7.66,0,0
297,96,2,D,D,7.43,0,0
290,100,1,F,D,7.56,0,0
303,98,1,D,D,7.65,0,0
311,99,1,D,C,8.43,1,1
322,104,3,C,B,8.84,1,1
319,105,3,C,C,8.67,1,1
324,110,4,B,B,9.15,1,1
300,100,3,C,C,8.26,0,1
340,113,4,A,A,9.74,1,1
335,117,5,A,A,9.82,1,1
302,101,2,D,C,7.96,0,0
307,105,2,D,C,8.1,0,0
296,97,2,F,D,7.8,0,0
320,108,3,C,B,8.44,1,1
314,102,2,D,D,8.24,0,1
318,106,3,D,C,8.65,0,1
326,112,4,B,C,9.12,1,1
317,104,2,C,C,8.76,0,1
329,111,4,B,B,9.23,1,1
324,110,3,C,C,9.04,1,1
325,107,3,C,C,9.11,1,1
330,116,4,A,B,9.45,1,1
312,103,3,C,B,8.78,0,1
333,117,4,A,B,9.66,1,1
