gender,age,race,age_partner,attractiveness,sincerity,intelligence,funny,ambitious,shared_interests,race_partner,field_study,match
female,26,Caucasian American,24,average,6,6,6,6,6,Caucasian American,Political Science/International Affairs,0
male,27,Caucasian American,21,average,9,7,7,6,5,Asian-American,Business/Econ/Finance,0
male,27,Caucasian American,24,average,7,8,4,6,3,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,25,sligthly_above,9,10,7,8,9,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,23,average,10,8,5,8,7,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,21,average,8,8,2,2,2,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,23,average,9,7,6,7,6,Asian-American,Business/Econ/Finance,0
male,27,Caucasian American,22,average,8,8,5,7,4,Asian-American,Business/Econ/Finance,0
male,27,Caucasian American,25,average,8,7,4,7,5,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,26,sligthly_above,10,9,8,7,6,Other,Business/Econ/Finance,0
male,22,Caucasian American,21,sligthly_above,8,7,8,5,6,Asian-American,Law,0
male,22,Caucasian American,24,sligthly_above,5,6,6,9,6,Caucasian American,Law,0
male,22,Caucasian American,25,above,7,9,8,9,7,Caucasian American,Law,0
male,22,Caucasian American,23,sligthly_above,7,8,10,7,8,Caucasian American,Law,0
male,22,Caucasian American,21,sligthly_above,6,6,5,5,5,Caucasian American,Law,0
male,22,Caucasian American,23,average,9,9,6,8,2,Asian-American,Law,0
male,22,Caucasian American,22,average,6,8,4,9,4,Asian-American,Law,0
male,22,Caucasian American,25,sligthly_above,7,7,9,6,7,Caucasian American,Law,1
male,22,Caucasian American,26,above,10,10,10,10,10,Other,Law,1
male,22,Asian-American,21,average,8,9,8,5,7,Asian-American,Law,1
male,22,Asian-American,24,average,8,9,6,3,4,Caucasian American,Law,0
male,22,Asian-American,25,sligthly_above,9,9,7,9,7,Caucasian American,Law,0
male,22,Asian-American,23,average,7,8,8,6,7,Caucasian American,Law,0
male,22,Asian-American,21,average,6,8,8,6,5,Caucasian American,Law,0
male,22,Asian-American,23,average,7,9,4,3,2,Asian-American,Law,0
male,22,Asian-American,22,below,6,8,7,8,8,Asian-American,Law,0
male,22,Asian-American,25,average,8,8,6,7,7,Caucasian American,Law,1
male,22,Asian-American,26,average,10,10,6,6,6,Other,Law,1
male,23,Caucasian American,21,sligthly_above,6,8,7,6,8,Asian-American,Law,1
male,23,Caucasian American,24,sligthly_above,9,7,6,5,7,Caucasian American,Law,1
male,23,Caucasian American,25,above,7,9,7,9,7,Caucasian American,Law,0
male,23,Caucasian American,23,sligthly_above,10,7,10,7,10,Caucasian American,Law,1
male,23,Caucasian American,21,sligthly_above,5,5,7,7,9,Caucasian American,Law,1
male,23,Caucasian American,23,sligthly_above,6,7,8,2,8,Asian-American,Law,1
male,23,Caucasian American,22,sligthly_above,8,8,7,7,6,Asian-American,Law,1
male,23,Caucasian American,25,sligthly_above,6,5,6,6,5,Caucasian American,Law,1
male,23,Caucasian American,26,above,9,8,8,7,7,Other,Law,1
male,24,Hispanic American,21,average,6,7,7,6,6,Asian-American,Law,1
male,24,Hispanic American,24,average,8,7,9,7,8,Caucasian American,Law,0
male,24,Hispanic American,25,above,10,10,10,10,10,Caucasian American,Law,0
male,24,Hispanic American,23,average,9,8,9,8,9,Caucasian American,Law,0
male,24,Hispanic American,21,average,7,7,5,4,8,Caucasian American,Law,0
male,24,Hispanic American,23,average,4,8,8,4,2,Asian-American,Law,0
male,24,Hispanic American,22,average,7,7,4,8,5,Asian-American,Law,0
male,24,Hispanic American,25,average,8,8,5,6,7,Caucasian American,Law,1
male,24,Hispanic American,26,average,10,8,8,5,5,Other,Law,1
male,25,Caucasian American,21,average,9,7,4,6,4,Asian-American,Business/Econ/Finance,0
male,25,Caucasian American,24,sligthly_above,7,8,3,6,2,Caucasian American,Business/Econ/Finance,0
male,25,Caucasian American,25,sligthly_above,10,10,7,9,9,Caucasian American,Business/Econ/Finance,0
male,25,Caucasian American,23,average,10,8,4,8,2,Caucasian American,Business/Econ/Finance,0
male,25,Caucasian American,21,average,6,7,5,7,8,Caucasian American,Business/Econ/Finance,0
male,25,Caucasian American,23,below,7,6,1,1,1,Asian-American,Business/Econ/Finance,0
male,25,Caucasian American,22,average,8,7,4,5,4,Asian-American,Business/Econ/Finance,0
male,25,Caucasian American,25,average,8,8,5,6,7,Caucasian American,Business/Econ/Finance,1
male,25,Caucasian American,26,sligthly_above,9,9,7,6,5,Other,Business/Econ/Finance,1
male,30,Caucasian American,21,sligthly_above,6,7,4,6,7,Asian-American,Political Science/International Affairs,0
male,30,Caucasian American,24,sligthly_above,5,9,6,7,9,Caucasian American,Political Science/International Affairs,0
male,30,Caucasian American,25,sligthly_above,9,10,7,7,9,Caucasian American,Political Science/International Affairs,0
male,30,Caucasian American,23,sligthly_above,10,10,7,10,5,Caucasian American,Political Science/International Affairs,0
male,30,Caucasian American,21,average,6,8,5,5,6,Caucasian American,Political Science/International Affairs,0
male,30,Caucasian American,23,sligthly_above,8,8,8,3,4,Asian-American,Political Science/International Affairs,0
male,30,Caucasian American,22,sligthly_above,7,8,7,7,7,Asian-American,Political Science/International Affairs,0
male,30,Caucasian American,25,average,7,8,5,7,7,Caucasian American,Political Science/International Affairs,0
male,30,Caucasian American,26,average,8,9,6,6,6,Other,Political Science/International Affairs,1
male,27,Caucasian American,21,average,9,7,6,5,6,Asian-American,Business/Econ/Finance,0
male,27,Caucasian American,24,average,8,7,5,9,5,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,25,sligthly_above,9,9,8,9,7,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,23,average,9,9,5,9,7,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,21,average,5,7,6,7,5,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,23,average,8,9,2,8,3,Asian-American,Business/Econ/Finance,0
male,27,Caucasian American,22,average,7,8,5,9,5,Asian-American,Business/Econ/Finance,0
male,27,Caucasian American,25,average,6,7,4,5,6,Caucasian American,Business/Econ/Finance,1
male,27,Caucasian American,26,average,7,8,7,9,6,Other,Business/Econ/Finance,0
male,28,Caucasian American,21,sligthly_above,6,8,9,8,8,Asian-American,Business/Econ/Finance,1
male,28,Caucasian American,24,sligthly_above,6,8,9,4,5,Caucasian American,Business/Econ/Finance,1
male,28,Caucasian American,25,above,9,9,9,9,9,Caucasian American,Business/Econ/Finance,0
male,28,Caucasian American,23,above,8,10,10,7,8,Caucasian American,Business/Econ/Finance,1
male,28,Caucasian American,21,sligthly_above,5,7,8,7,9,Caucasian American,Business/Econ/Finance,1
male,28,Caucasian American,23,sligthly_above,6,8,8,6,9,Asian-American,Business/Econ/Finance,1
male,28,Caucasian American,22,average,6,8,8,8,6,Asian-American,Business/Econ/Finance,1
male,28,Caucasian American,25,sligthly_above,8,5,9,8,9,Caucasian American,Business/Econ/Finance,1
male,28,Caucasian American,26,sligthly_above,5,5,6,5,5,Other,Business/Econ/Finance,1
male,28,Caucasian American,26,above,9,9,9,9,9,Caucasian American,Business/Econ/Finance,1
male,24,Caucasian American,21,average,6,6,8,10,8,Asian-American,Business/Econ/Finance,0
male,24,Caucasian American,24,average,7,8,7,9,8,Caucasian American,Business/Econ/Finance,0
male,24,Caucasian American,25,sligthly_above,7,9,7,9,7,Caucasian American,Business/Econ/Finance,0
male,24,Caucasian American,23,sligthly_above,9,10,10,8,8,Caucasian American,Business/Econ/Finance,0
male,24,Caucasian American,21,above,6,7,9,6,5,Caucasian American,Business/Econ/Finance,0
male,24,Caucasian American,23,sligthly_above,9,9,9,10,7,Asian-American,Business/Econ/Finance,0
male,24,Caucasian American,22,sligthly_above,6,7,7,8,6,Asian-American,Business/Econ/Finance,0
male,24,Caucasian American,25,sligthly_above,6,8,7,9,8,Caucasian American,Business/Econ/Finance,1
male,24,Caucasian American,26,sligthly_above,8,7,8,7,8,Other,Business/Econ/Finance,0
male,24,Caucasian American,26,above,9,8,10,8,8,Caucasian American,Business/Econ/Finance,0
female,21,Asian-American,25,below,10,10,6,4,7,Asian-American,Engineering,0
female,21,Asian-American,23,below,10,9,5,9,2,Asian-American,Engineering,0
female,21,Asian-American,24,average,5,6,4,6,2,Caucasian American,Engineering,0
female,21,Asian-American,24,average,7,8,6,7,7,Caucasian American,Engineering,0
female,21,Asian-American,28,sligthly_above,8,8,7,9,6,Caucasian American,Engineering,0
female,21,Asian-American,26,average,7,10,8,9,8,Caucasian American,Engineering,0
female,21,Asian-American,30,above,5,6,5,5,7,Caucasian American,Engineering,0
female,21,Asian-American,22,below,8,5,5,8,3,Caucasian American,Engineering,0
female,21,Asian-American,25,average,7,8,4,6,4,Asian-American,Engineering,0
female,21,Asian-American,23,below,8,8,3,2,2,Caucasian American,Engineering,0
female,21,Asian-American,21,average,6,8,6,7,6,Caucasian American,Engineering,0
female,21,Asian-American,28,average,8,8,7,7,6,Caucasian American,Engineering,0
female,21,Asian-American,28,average,7,7,7,7,5,Caucasian American,Engineering,0
female,21,Asian-American,23,average,8,10,7,9,5,African American,Engineering,0
female,27,African American,25,average,10,8,8,6,4,Asian-American,"Education, Academia",0
female,27,African American,23,below,6,8,5,5,1,Asian-American,"Education, Academia",0
female,27,African American,24,average,5,5,3,5,1,Caucasian American,"Education, Academia",0
female,27,African American,24,average,7,6,6,8,5,Caucasian American,"Education, Academia",1
female,27,African American,28,sligthly_above,7,7,5,6,5,Caucasian American,"Education, Academia",1
female,27,African American,26,average,8,5,5,6,5,Caucasian American,"Education, Academia",0
female,27,African American,23,below,2,3,2,2,1,Caucasian American,"Education, Academia",0
female,27,African American,21,average,6,7,6,5,5,Caucasian American,"Education, Academia",0
female,27,African American,28,average,8,8,7,8,6,Caucasian American,"Education, Academia",0
female,27,African American,28,average,7,7,6,6,5,Caucasian American,"Education, Academia",0
female,27,African American,23,average,8,9,7,10,8,African American,"Education, Academia",0
female,21,Asian-American,25,average,4,3,7,4,3,Asian-American,"Social Science, Psychologist",0
female,21,Asian-American,24,average,6,5,4,3,2,Caucasian American,"Social Science, Psychologist",1
female,21,Asian-American,24,sligthly_above,8,8,10,7,8,Caucasian American,"Social Science, Psychologist",1
female,21,Asian-American,28,sligthly_above,8,7,6,6,6,Caucasian American,"Social Science, Psychologist",1
female,21,Asian-American,26,average,8,9,8,8,9,Caucasian American,"Social Science, Psychologist",0
female,21,Asian-American,30,average,6,6,4,7,4,Caucasian American,"Social Science, Psychologist",0
female,21,Asian-American,22,average,6,6,4,3,3,Caucasian American,"Social Science, Psychologist",0
female,21,Asian-American,25,sligthly_above,8,8,6,7,3,Asian-American,"Social Science, Psychologist",0
female,21,Asian-American,23,average,6,4,1,1,1,Caucasian American,"Social Science, Psychologist",0
female,21,Asian-American,21,sligthly_above,7,6,6,6,5,Caucasian American,"Social Science, Psychologist",0
female,21,Asian-American,28,sligthly_above,8,8,7,8,6,Caucasian American,"Social Science, Psychologist",0
female,21,Asian-American,28,average,7,7,7,9,7,Caucasian American,"Social Science, Psychologist",0
female,21,Asian-American,23,average,9,10,8,10,7,African American,"Social Science, Psychologist",0
female,27,Caucasian American,25,average,10,9,9,8,5,Asian-American,Social Work,0
female,27,Caucasian American,23,sligthly_above,6,7,9,8,2,Asian-American,Social Work,0
female,27,Caucasian American,24,average,5,6,4,7,2,Caucasian American,Social Work,0
female,27,Caucasian American,24,average,7,8,7,8,8,Caucasian American,Social Work,0
female,27,Caucasian American,28,average,6,6,6,5,5,Caucasian American,Social Work,0
female,27,Caucasian American,26,sligthly_above,8,8,8,7,9,Caucasian American,Social Work,0
female,27,Caucasian American,30,average,6,6,5,6,4,Caucasian American,Social Work,0
female,27,Caucasian American,25,sligthly_above,7,6,5,6,7,Asian-American,Social Work,0
female,27,Caucasian American,23,sligthly_above,5,7,6,6,6,Caucasian American,Social Work,0
female,27,Caucasian American,21,sligthly_above,7,9,5,6,2,Caucasian American,Social Work,0
female,27,Caucasian American,28,sligthly_above,8,8,8,7,7,Caucasian American,Social Work,0
female,27,Caucasian American,28,sligthly_above,7,8,7,7,8,Caucasian American,Social Work,0
female,27,Caucasian American,23,sligthly_above,9,9,8,8,6,African American,Social Work,0
female,25,Caucasian American,25,sligthly_above,10,9,9,8,4,Asian-American,Social Work,0
female,25,Caucasian American,24,sligthly_above,5,6,6,5,1,Caucasian American,Social Work,0
female,25,Caucasian American,24,sligthly_above,6,6,7,5,4,Caucasian American,Social Work,0
female,25,Caucasian American,28,sligthly_above,6,6,7,6,6,Caucasian American,Social Work,0
female,25,Caucasian American,26,above,8,7,8,7,8,Caucasian American,Social Work,0
female,25,Caucasian American,30,average,7,5,5,5,2,Caucasian American,Social Work,0
female,25,Caucasian American,25,above,8,7,8,6,5,Asian-American,Social Work,0
female,25,Caucasian American,23,average,4,7,6,2,2,Caucasian American,Social Work,0
female,25,Caucasian American,21,sligthly_above,7,7,7,6,6,Caucasian American,Social Work,0
female,25,Caucasian American,28,above,8,8,8,8,7,Caucasian American,Social Work,0
female,25,Caucasian American,28,sligthly_above,9,9,9,7,5,Caucasian American,Social Work,0
female,25,Caucasian American,23,sligthly_above,9,8,10,9,8,African American,Social Work,0
female,23,Caucasian American,25,sligthly_above,9,9,8,7,4,Asian-American,Social Work,0
female,23,Caucasian American,24,average,5,7,5,5,2,Caucasian American,Social Work,0
female,23,Caucasian American,24,sligthly_above,7,7,8,7,7,Caucasian American,Social Work,0
female,23,Caucasian American,28,sligthly_above,6,8,7,6,7,Caucasian American,Social Work,0
female,23,Caucasian American,26,above,9,9,10,7,8,Caucasian American,Social Work,0
female,23,Caucasian American,30,average,6,6,6,6,6,Caucasian American,Social Work,0
female,23,Caucasian American,25,above,8,7,7,7,8,Asian-American,Social Work,0
female,23,Caucasian American,23,sligthly_above,3,5,5,3,2,Caucasian American,Social Work,0
female,23,Caucasian American,21,sligthly_above,7,7,7,6,6,Caucasian American,Social Work,0
female,23,Caucasian American,28,above,9,9,9,8,8,Caucasian American,Social Work,0
female,23,Caucasian American,28,sligthly_above,8,7,8,7,6,Caucasian American,Social Work,0
female,23,Caucasian American,23,sligthly_above,9,8,9,9,8,African American,Social Work,0
female,22,Hispanic American,25,above,8,6,8,7,5,Asian-American,"Social Science, Psychologist",0
female,22,Hispanic American,24,sligthly_above,6,5,7,3,5,Caucasian American,"Social Science, Psychologist",0
female,22,Hispanic American,24,above,7,7,7,6,5,Caucasian American,"Social Science, Psychologist",0
female,22,Hispanic American,28,sligthly_above,8,7,8,6,7,Caucasian American,"Social Science, Psychologist",0
female,22,Hispanic American,26,above,8,8,8,7,9,Caucasian American,"Social Science, Psychologist",1
female,22,Hispanic American,30,sligthly_above,5,6,6,4,5,Caucasian American,"Social Science, Psychologist",0
female,22,Hispanic American,25,sligthly_above,8,7,7,7,0,Asian-American,"Social Science, Psychologist",0
female,22,Hispanic American,23,sligthly_above,4,4,7,5,3,Caucasian American,"Social Science, Psychologist",0
female,22,Hispanic American,21,sligthly_above,7,7,6,6,7,Caucasian American,"Social Science, Psychologist",0
female,22,Hispanic American,28,sligthly_above,8,8,8,8,7,Caucasian American,"Social Science, Psychologist",0
female,22,Hispanic American,28,above,9,8,9,8,7,Caucasian American,"Social Science, Psychologist",0
female,22,Hispanic American,23,above,8,9,10,9,8,African American,"Social Science, Psychologist",0
female,26,Caucasian American,25,sligthly_above,8,7,8,7,3,Asian-American,"Social Science, Psychologist",0
female,26,Caucasian American,30,sligthly_above,8,8,8,8,8,Asian-American,"Social Science, Psychologist",0
female,26,Caucasian American,24,average,6,6,4,7,6,Caucasian American,"Social Science, Psychologist",0
female,26,Caucasian American,24,average,5,5,5,6,5,Caucasian American,"Social Science, Psychologist",0
female,26,Caucasian American,28,sligthly_above,7,7,6,6,6,Caucasian American,"Social Science, Psychologist",0
female,26,Caucasian American,26,sligthly_above,7,7,7,7,9,Caucasian American,"Social Science, Psychologist",1
female,26,Caucasian American,30,average,6,7,5,7,5,Caucasian American,"Social Science, Psychologist",0
female,26,Caucasian American,22,sligthly_above,8,5,6,3,3,Caucasian American,"Social Science, Psychologist",0
female,26,Caucasian American,27,average,8,8,7,8,5,African American,"Social Science, Psychologist",0
female,26,Caucasian American,23,average,7,7,3,2,1,Caucasian American,"Social Science, Psychologist",0
female,26,Caucasian American,21,average,6,7,5,6,5,Caucasian American,"Social Science, Psychologist",0
female,26,Caucasian American,28,sligthly_above,8,8,7,8,7,Caucasian American,"Social Science, Psychologist",0
female,26,Caucasian American,28,sligthly_above,8,7,7,7,7,Caucasian American,"Social Science, Psychologist",0
female,26,Caucasian American,23,above,9,10,9,9,9,African American,"Social Science, Psychologist",0
female,22,Caucasian American,25,average,6,3,4,3,3,Asian-American,Social Work,0
female,22,Caucasian American,24,average,4,5,4,6,5,Caucasian American,Social Work,0
female,22,Caucasian American,24,sligthly_above,6,7,6,7,5,Caucasian American,Social Work,1
female,22,Caucasian American,28,sligthly_above,8,6,7,6,6,Caucasian American,Social Work,1
female,22,Caucasian American,26,average,7,6,8,7,7,Caucasian American,Social Work,0
female,22,Caucasian American,30,average,6,5,6,7,2,Caucasian American,Social Work,0
female,22,Caucasian American,22,average,8,9,5,9,3,Caucasian American,Social Work,0
female,22,Caucasian American,25,sligthly_above,8,8,7,6,5,Asian-American,Social Work,0
female,22,Caucasian American,23,average,8,5,3,3,3,Caucasian American,Social Work,0
female,22,Caucasian American,21,average,7,6,7,5,5,Caucasian American,Social Work,0
female,22,Caucasian American,28,average,8,8,7,7,6,Caucasian American,Social Work,0
female,22,Caucasian American,28,average,8,7,7,7,5,Caucasian American,Social Work,0
female,22,Caucasian American,23,average,8,8,8,9,6,African American,Social Work,0
female,23,Caucasian American,25,average,6,8,7,8,4,Asian-American,Law,0
female,23,Caucasian American,24,below,4,7,3,7,1,Caucasian American,Law,0
female,23,Caucasian American,24,sligthly_above,7,7,7,6,7,Caucasian American,Law,0
female,23,Caucasian American,28,average,6,6,6,6,5,Caucasian American,Law,0
female,23,Caucasian American,26,average,8,8,9,8,6,Caucasian American,Law,0
female,23,Caucasian American,30,above,5,6,3,6,3,Caucasian American,Law,0
female,23,Caucasian American,23,below,5,6,2,6,4,Caucasian American,Law,0
female,23,Caucasian American,21,average,7,7,6,6,4,Caucasian American,Law,0
female,23,Caucasian American,28,average,8,8,7,8,6,Caucasian American,Law,0
female,23,Caucasian American,28,average,8,8,7,8,6,Caucasian American,Law,0
female,23,Caucasian American,23,sligthly_above,9,10,10,10,10,African American,Law,1
female,24,Caucasian American,25,sligthly_above,5,4,4,8,3,Asian-American,Law,0
female,24,Caucasian American,24,average,6,6,6,5,3,Caucasian American,Law,0
female,24,Caucasian American,24,above,7,7,6,7,7,Caucasian American,Law,0
female,24,Caucasian American,28,above,8,8,7,8,6,Caucasian American,Law,0
female,24,Caucasian American,26,above,6,7,6,7,8,Caucasian American,Law,0
female,24,Caucasian American,30,sligthly_above,6,6,5,7,5,Caucasian American,Law,0
female,24,Caucasian American,23,sligthly_above,7,7,4,5,5,Caucasian American,Law,0
female,24,Caucasian American,21,sligthly_above,8,8,6,7,5,Caucasian American,Law,0
female,24,Caucasian American,28,sligthly_above,8,9,8,9,7,Caucasian American,Law,0
female,24,Caucasian American,28,sligthly_above,8,8,8,7,7,Caucasian American,Law,0
female,24,Caucasian American,23,sligthly_above,10,10,10,10,8,African American,Law,1
female,27,Asian-American,25,sligthly_above,10,10,7,8,4,Asian-American,"Social Science, Psychologist",0
female,27,Asian-American,23,average,9,10,8,10,4,Asian-American,"Social Science, Psychologist",0
female,27,Asian-American,24,average,6,7,4,4,3,Caucasian American,"Social Science, Psychologist",0
female,27,Asian-American,24,sligthly_above,6,6,7,7,8,Caucasian American,"Social Science, Psychologist",0
female,27,Asian-American,28,above,8,8,8,8,7,Caucasian American,"Social Science, Psychologist",0
female,27,Asian-American,26,sligthly_above,9,8,7,10,7,Caucasian American,"Social Science, Psychologist",0
