sepal length,sepal width,petal length,abnormality,generality,proximity,obtainability
5.0,3.5,s,0.51,0.2295183190875597,1.6018518518518527,1
4.3,3.7,s,0.49000000000000005,0.11216561250506063,2.8796296296296315,1
4.3,3.7,p,0.41000000000000003,0.11229409197205564,3.0185185185185195,2
4.3,3.7,p,0.41000000000000003,0.11229409197205564,3.0185185185185195,2
4.3,3.7,s,0.49000000000000005,0.11216561250506063,2.8796296296296315,1
5.9,3.7,p,0.62,0.2514848444352078,1.240740740740742,2
5.9,3.7,s,0.7,0.2513563649682128,1.1851851851851867,1
4.6,3.6,p,0.41000000000000003,0.11148692315096298,2.435185185185186,2
4.9,3.5,s,0.51,0.2295183190875597,1.7129629629629635,1
4.9,3.5,s,0.51,0.2295183190875597,1.7129629629629635,1
4.9,3.5,p,0.43000000000000005,0.22964679855455472,1.8518518518518514,2
5.3,3.5,p,0.45,0.22622030713596697,1.4074074074074077,2
5.3,3.5,s,0.53,0.22609182766897196,1.2685185185185197,1
6.0,3.7,p,0.66,0.2261458288713254,1.1296296296296313,2
4.5,3.6,s,0.49000000000000005,0.11135844368396797,2.4074074074074088,1
4.5,3.6,p,0.41000000000000003,0.11148692315096298,2.5462962962962967,2
5.7,3.6,s,0.7,0.2505491961471201,1.1574074074074083,1
5.7,3.6,p,0.62,0.25067767561411514,1.2129629629629637,2
4.8,3.5,p,0.43000000000000005,0.22964679855455472,1.962962962962963,2
4.8,3.5,s,0.51,0.2295183190875597,1.824074074074075,1
5.4,3.5,p,0.45,0.22622030713596697,1.296296296296296,2
5.4,3.5,s,0.53,0.22609182766897196,1.157407407407408,1
6.1,3.7,p,0.66,0.2261458288713254,1.0185185185185206,2
5.1,3.4,s,0.5800000000000001,0.2295183190875597,1.2407407407407414,1
5.1,3.4,p,0.5,0.22964679855455472,1.3796296296296298,2
4.4,3.6,s,0.49000000000000005,0.11135844368396797,2.5185185185185195,1
4.4,3.6,p,0.41000000000000003,0.11148692315096298,2.6574074074074074,2
5.8,3.6,p,0.62,0.25067767561411514,1.1018518518518532,2
6.5,3.8,p,0.63,0.24264949436020689,1.277777777777778,2
4.7,3.5,s,0.46,0.11135844368396797,1.9351851851851858,1
4.7,3.5,p,0.38,0.11148692315096298,2.074074074074074,2
5.0,3.4,p,0.5,0.22964679855455472,1.4907407407407405,2
5.0,3.4,s,0.5800000000000001,0.2295183190875597,1.351851851851852,1
4.3,3.6,s,0.49000000000000005,0.11135844368396797,2.629629629629631,1
4.3,3.6,p,0.41000000000000003,0.11148692315096298,2.768518518518519,2
4.3,3.6,p,0.41000000000000003,0.11148692315096298,2.768518518518519,2
4.3,3.6,s,0.49000000000000005,0.11135844368396797,2.629629629629631,1
5.9,3.6,p,0.62,0.25067767561411514,0.9907407407407414,2
5.9,3.6,s,0.7,0.2505491961471201,0.935185185185186,1
4.6,3.5,p,0.38,0.11148692315096298,2.1851851851851856,2
